from_loc,to_loc,amount,country,from_pop,from_x,from_y,to_pop,to_x,to_y,euc_dist,predict_ipums,predict_ipums_country,predict_civ,predict_kenya,predict_sen
24,31,114,SLE,612546.8019,-12.7334995,8.7240896,641236.4017,-11.7143002,7.95329,1.277849458,462.425225,484.7460214,2330.834395,89368.33336,3194.295969
24,32,9,SLE,612546.8019,-12.7334995,8.7240896,191754.4736,-12.2756004,7.5009198,1.30606889,119.1711086,14.65041605,876.4580474,19637.20201,1754.400006
24,33,72,SLE,612546.8019,-12.7334995,8.7240896,352832.0699,-12.4265003,8.05931,0.732243419,405.6867091,114.74193,3410.608841,134919.7848,6514.647973
24,34,11,SLE,612546.8019,-12.7334995,8.7240896,316360.3377,-11.5670996,7.29498,1.84467964,149.2692111,52.15557825,766.4383125,17825.52773,1197.983996
24,41,682,SLE,612546.8019,-12.7334995,8.7240896,540326.047,-13.0862999,8.3221998,0.534774283,876.5273061,461.7485628,7684.359992,431431.7957,13882.91841
24,42,2166,SLE,612546.8019,-12.7334995,8.7240896,775375.9439,-13.2444,8.4532099,0.578269083,1213.207608,1259.580782,9049.850845,570810.949,14286.24241
25,11,33,SLE,472176.2751,-11.8753004,8.6617603,472521.038,-10.6969995,8.0851002,1.311842171,239.6009357,128.1558378,1408.799392,42531.62643,2342.741116
25,12,314,SLE,472176.2751,-11.8753004,8.6617603,690510.5587,-11.2013998,7.9244599,0.998876318,472.4238418,440.939202,2871.51435,117948.7734,4535.90694
25,13,508,SLE,472176.2751,-11.8753004,8.6617603,538271.4597,-10.9485998,8.6857595,0.927011307,385.0807823,223.0736059,2647.574693,101458.5798,4614.275568
25,21,395,SLE,472176.2751,-11.8753004,8.6617603,550436.786,-12.1657,9.31141,0.711601476,507.6530512,272.4655334,4030.869292,179136.1137,7461.174198
25,22,59,SLE,472176.2751,-11.8753004,8.6617603,362084.2954,-12.8070002,9.18221,1.067207762,217.2249491,66.00878598,1566.412046,46916.87991,2988.269312
25,23,107,SLE,472176.2751,-11.8753004,8.6617603,358521.7854,-11.3449001,9.45222,0.951919648,239.5532504,68.01769145,1850.024267,58575.80338,3645.026487
25,24,242,SLE,472176.2751,-11.8753004,8.6617603,612546.8019,-12.7334995,8.7240896,0.86045955,476.8987879,336.6824148,3281.50179,138325.0922,5593.58053
25,31,254,SLE,472176.2751,-11.8753004,8.6617603,641236.4017,-11.7143002,7.95329,0.726533709,589.2841788,419.070666,4401.074626,206778.4853,7718.887676
25,32,14,SLE,472176.2751,-11.8753004,8.6617603,191754.4736,-12.2756004,7.5009198,1.227921315,94.10560387,9.789390228,769.193817,16230.22019,1733.591554
25,33,138,SLE,472176.2751,-11.8753004,8.6617603,352832.0699,-12.4265003,8.05931,0.816558445,272.3339015,70.25282206,2307.888089,78631.64884,4752.390735
25,34,20,SLE,472176.2751,-11.8753004,8.6617603,316360.3377,-11.5670996,7.29498,1.401098184,144.4040882,38.87409767,930.9590198,22800.07278,1729.861104
25,41,340,SLE,472176.2751,-11.8753004,8.6617603,540326.047,-13.0862999,8.3221998,1.257704704,289.275425,192.9179327,1668.434245,54590.59205,2687.202968
25,42,855,SLE,472176.2751,-11.8753004,8.6617603,775375.9439,-13.2444,8.4532099,1.384892409,393.5367126,521.3848878,1911.358,69594.28375,2677.509247
31,11,214,SLE,641236.4017,-11.7143002,7.95329,472521.038,-10.6969995,8.0851002,1.025804388,428.2513533,242.3640932,2668.286356,102127.5699,4185.58872
31,12,712,SLE,641236.4017,-11.7143002,7.95329,690510.5587,-11.2013998,7.9244599,0.51371003,1258.045284,1033.49241,10296.94062,667716.7732,17070.54186
31,13,163,SLE,641236.4017,-11.7143002,7.95329,538271.4597,-10.9485998,8.6857595,1.059626666,479.5909462,347.322452,2812.252234,112004.4186,4197.335322
31,21,151,SLE,641236.4017,-11.7143002,7.95329,550436.786,-12.1657,9.31141,1.431171448,369.3139848,317.6304757,1810.484229,62211.9859,2485.329927
31,22,22,SLE,641236.4017,-11.7143002,7.95329,362084.2954,-12.8070002,9.18221,1.644456645,203.6158035,88.19787993,1055.66264,28105.76706,1598.364521
31,23,18,SLE,641236.4017,-11.7143002,7.95329,358521.7854,-11.3449001,9.45222,1.54377705,213.8798212,88.53257299,1153.351554,31602.66214,1780.189966
31,24,106,SLE,641236.4017,-11.7143002,7.95329,612546.8019,-12.7334995,8.7240896,1.277849458,462.9939819,458.4411373,2339.38802,89364.59447,3194.748979
31,25,125,SLE,641236.4017,-11.7143002,7.95329,472176.2751,-11.8753004,8.6617603,0.726533709,594.1472146,288.586781,4510.195946,206720.6503,7726.209878
31,32,255,SLE,641236.4017,-11.7143002,7.95329,191754.4736,-12.2756004,7.5009198,0.720899932,220.9374817,21.44059144,2254.463966,70070.74433,5155.839848
31,33,315,SLE,641236.4017,-11.7143002,7.95329,352832.0699,-12.4265003,8.05931,0.72004807,434.1611646,124.9292385,3639.925815,147639.9503,6857.240219
31,34,596,SLE,641236.4017,-11.7143002,7.95329,316360.3377,-11.5670996,7.29498,0.674566581,409.4539349,94.24578523,3691.236306,147732.4036,7320.380978
31,41,191,SLE,641236.4017,-11.7143002,7.95329,540326.047,-13.0862999,8.3221998,1.420731367,364.3479294,302.1947526,1804.416863,61740.9848,2496.317169
31,42,1262,SLE,641236.4017,-11.7143002,7.95329,775375.9439,-13.2444,8.4532099,1.609697271,482.3875004,804.8681827,1979.192687,74243.69699,2364.244572
32,11,6,SLE,191754.4736,-12.2756004,7.5009198,472521.038,-10.6969995,8.0851002,1.683225339,68.09657886,25.0354117,442.9033543,8525.424674,987.0710458
32,12,29,SLE,191754.4736,-12.2756004,7.5009198,690510.5587,-11.2013998,7.9244599,1.154683136,148.279634,90.86574471,1058.261726,29270.93525,2300.635282
32,13,3,SLE,191754.4736,-12.2756004,7.5009198,538271.4597,-10.9485998,8.6857595,1.778981649,74.61713803,35.4591344,450.803596,8921.980891,950.3658734
32,21,4,SLE,191754.4736,-12.2756004,7.5009198,550436.786,-12.1657,9.31141,1.813822721,75.08592001,37.45056874,445.4020891,8811.396293,927.7266835
32,22,1,SLE,191754.4736,-12.2756004,7.5009198,362084.2954,-12.8070002,9.18221,1.763270394,48.53565331,11.32868909,335.0333062,5605.014083,803.1656126
32,23,0,SLE,191754.4736,-12.2756004,7.5009198,358521.7854,-11.3449001,9.45222,2.161891653,39.54466125,9.918357308,243.7181435,3648.999937,556.4596783
32,24,0,SLE,191754.4736,-12.2756004,7.5009198,612546.8019,-12.7334995,8.7240896,1.30606889,115.511692,60.34800403,798.6677216,19658.05917,1748.098743
32,25,0,SLE,191754.4736,-12.2756004,7.5009198,472176.2751,-11.8753004,8.6617603,1.227921315,91.85565678,29.36218948,715.6762719,16243.59395,1728.758452
32,31,154,SLE,191754.4736,-12.2756004,7.5009198,641236.4017,-11.7143002,7.95329,0.720899932,213.8900275,93.38570155,2046.856774,70148.10299,5136.5932
32,33,83,SLE,191754.4736,-12.2756004,7.5009198,352832.0699,-12.4265003,8.05931,0.578420604,136.2179661,18.60441673,1793.514958,53171.83631,5757.881043
32,34,35,SLE,191754.4736,-12.2756004,7.5009198,316360.3377,-11.5670996,7.29498,0.737824224,95.77260823,11.98292402,1136.542658,28287.2001,3550.717679
